"Snapshot","VmName","PowerState","CreationDate","AgeDays","ParentSnapshot","IsCurrentSnapshot","SnapshotSizeGB","Description"
"id-wupp-dns1-a_vm-439_1","id-wupp-dns1-a","PoweredOff","26/06/2019 15:55:46","113 Jours",,"True","0,38 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:46.694 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:46.694."
"opwarmmdbc4a_vm-473_1","opwarmmdbc4a","PoweredOff","26/06/2019 15:55:47","113 Jours",,"True","5,35 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:48.191 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:48.191."
"opwarmmws7a_vm-432_1","opwarmmws7a","PoweredOff","26/06/2019 15:55:46","113 Jours",,"True","0,74 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:46.397 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:46.397."
"opwarmmws5a_vm-344_1","opwarmmws5a","PoweredOff","26/06/2019 15:55:42","113 Jours",,"True","0,80 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.372 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.372."
"opwarmmarcdb1a_vm-366_1","opwarmmarcdb1a","PoweredOff","26/06/2019 15:55:43","113 Jours",,"True","0,72 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:43.449 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:43.449."
"opwarmmws3a_vm-352_1","opwarmmws3a","PoweredOff","26/06/2019 15:55:42","113 Jours",,"True","0,81 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.497 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.497."
"opwarmmws8a_vm-461_1","opwarmmws8a","PoweredOff","26/06/2019 15:55:47","113 Jours",,"True","0,81 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:47.396 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:47.396."
"opwarmmdbc3a_vm-361_1","opwarmmdbc3a","PoweredOff","26/06/2019 15:55:43","113 Jours",,"True","5,33 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:43.308 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:43.308."
"opwarmmdbr1a_vm-413_1","opwarmmdbr1a","PoweredOff","26/06/2019 15:55:44","113 Jours",,"True","6,13 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:44.993 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:44.993."
"opwarmmdbc1a_vm-410_1","opwarmmdbc1a","PoweredOff","26/06/2019 15:55:44","113 Jours",,"True","5,39 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:44.806 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:44.806."
